x,vx
6.06906,-0.274063
5.32392,0.363208
6.11726,-0.237923
5.36185,0.360717
6.05693,-0.282828
5.31388,0.363785
6.10428,-0.248045
5.35276,0.361363
6.08065,-0.265591
5.3337,0.362609
6.13105,-0.226723
5.37077,0.360066
6.04244,-0.292972
5.30126,0.364483
6.08879,-0.259785
5.34079,0.362147
6.06612,-0.276214
5.32139,0.363355
6.11404,-0.240483
5.35955,0.360882
6.05417,-0.284757
5.31139,0.363928
6.10105,-0.25052
5.35043,0.361521
6.07803,-0.267451
5.33131,0.362764
6.12752,-0.229617
5.36853,0.360228
6.0484,-0.288806
5.30637,0.364213
6.09478,-0.255317
5.34553,0.36184
6.07227,-0.271692
5.32638,0.363062
6.12053,-0.235316
5.36404,0.360555
6.05998,-0.280682
5.31637,0.363642
6.10753,-0.245552
5.35509,0.361204
6.08322,-0.263789
5.3361,0.362456
6.13445,-0.223931
5.37296,0.359901
6.04088,-0.294064
5.45052,0.355133
6.36819,-0.0177115
5.49435,0.3535
6.31918,-0.0616882
5.47233,0.354303
6.41699,0.023162
5.51509,0.352584
6.29502,-0.0834756
5.46116,0.3547
6.39271,0.00364219
5.50481,0.35306
6.34392,-0.0392953
5.48354,0.353914
6.44216,0.0421233
5.52509,0.352087
6.28335,-0.0937933
5.45576,0.354907
6.38033,-0.00695492
5.49959,0.353281
6.33104,-0.0510555
5.47794,0.354108
6.42943,0.0325155
5.52018,0.352343
6.30701,-0.072671
5.4668,0.354501
6.40472,0.0134873
5.51,0.352827
6.35627,-0.0282458
5.48905,0.353711
6.45537,0.0523287
5.53011,0.351829
6.27742,-0.0990059
5.4531,0.355021
6.37436,-0.0122218
5.49699,0.35339
6.32507,-0.0563989
5.47513,0.354205
6.42321,0.0278413
5.51762,0.352464
6.30104,-0.078044
5.46398,0.3546
6.39868,0.00859471
5.50741,0.352944
6.35005,-0.0338038
5.4863,0.353814
6.44891,0.0473387
5.52764,0.351958
6.28899,-0.0888278
5.45843,0.354801
6.38656,-0.00159767
5.50219,0.353171
6.33749,-0.0451686
5.48076,0.354012
6.4358,0.0373012
5.52267,0.352216
6.31299,-0.0672714
5.46954,0.354401
6.41107,0.01863
5.51254,0.352707
6.36225,-0.0229173
5.49174,0.353606
6.46172,0.0572231
5.5326,0.3517
6.27434,-0.101719
5.61298,0.346444
6.8008,0.297064
5.6535,0.343034
6.74608,0.261673
5.63321,0.344756
6.85262,0.324353
5.67314,0.341284
6.71857,0.242943
5.62299,0.345616
6.82662,0.310953
5.66335,0.342155
6.77351,0.280042
5.6435,0.343898
6.88205,0.339799
5.68302,0.340419
6.70404,0.233016
5.61787,0.346033
6.81429,0.304644
5.65842,0.342596
6.75981,0.271008
5.63832,0.344328
6.86674,0.331705
5.67809,0.340845
6.73247,0.252378
5.6281,0.345186
6.83955,0.317615
5.66821,0.34172
6.78706,0.288721
5.64851,0.343467
6.8966,0.347466
5.68778,0.339997
6.69656,0.227895
5.61538,0.34624
6.80764,0.301005
5.65603,0.342816
6.75294,0.266338
5.63577,0.344541
6.85968,0.327999
5.67557,0.341063
6.72597,0.247958
5.62561,0.345403
6.83305,0.314266
5.66576,0.341939
6.78026,0.284422
5.64603,0.343682
6.88962,0.343799
5.6854,0.340208
6.71125,0.237953
5.6204,0.345825
6.82041,0.307767
5.66085,0.342375
6.76644,0.275452
5.64088,0.344116
6.8745,0.33581
5.68055,0.340633
6.73929,0.257056
5.63059,0.344972
6.84601,0.320948
5.67063,0.341505
6.79417,0.293108
5.65106,0.343248
6.90384,0.351292
5.69021,0.339782
6.69295,0.22542
5.7663,0.333473
7.2737,0.537065
5.80759,0.33188
7.20883,0.502256
5.7867,0.332195
7.35347,0.577426
5.82872,0.332341
7.18005,0.487454
5.77645,0.332818
7.3127,0.557791
5.81812,0.332043
7.23975,0.518642
5.79704,0.331942
7.39268,0.595423
5.83936,0.332688
7.16554,0.480168
5.77132,0.333146
7.29257,0.547265
5.81288,0.331961
7.22369,0.510064
5.79188,0.332035
7.37306,0.586431
5.83407,0.332516
7.19393,0.494528
5.78162,0.332502
7.33389,0.568317
5.82339,0.332165
7.25616,0.527525
5.8023,0.331867
7.41333,0.604533
5.8447,0.332875
7.15796,0.476397
5.76882,0.33331
7.28306,0.542154
5.81026,0.331921
7.2161,0.506042
5.78931,0.332088
7.36333,0.581977
5.83139,0.33243
7.187,0.490996
5.77905,0.332659
7.3234,0.563195
5.82079,0.332087
7.2478,0.522997
5.79968,0.331904
7.40284,0.599992
5.842,0.33278
7.17263,0.483717
5.77386,0.332982
7.30231,0.552374
5.81545,0.331998
7.23176,0.514355
5.79442,0.331984
7.38256,0.590773
5.83677,0.332602
7.20156,0.498475
5.78422,0.33235
7.34392,0.573017
5.82606,0.332253
7.26462,0.532117
5.80494,0.331839
7.42414,0.609016
5.84735,0.332964
7.15444,0.474699
5.9263,0.333295
7.90591,0.781566
5.96608,0.333732
7.8288,0.749882
5.94593,0.333147
7.99592,0.81616
5.98652,0.335709
7.78625,0.732872
5.93613,0.333216
7.95034,0.799194
5.97628,0.334565
7.86773,0.765888
5.95597,0.333362
8.04339,0.83254
5.99664,0.337068
7.7673,0.725633
5.93114,0.333251
7.92735,0.790162
5.97116,0.334144
7.84891,0.758111
5.95087,0.333195
8.02039,0.824856
5.99154,0.336384
7.80712,0.741118
5.94096,0.333183
7.9735,0.807962
5.98144,0.335025
7.88542,0.773146
5.96107,0.33352
8.06405,0.838937
6.00174,0.33801
7.75861,0.722444
5.92873,0.333274
7.91657,0.785867
5.96855,0.33393
7.83892,0.754034
5.94832,0.333124
8.00808,0.82053
5.98897,0.336037
7.796,0.736687
5.93858,0.3332
7.96161,0.803482
5.97887,0.33478
7.87648,0.769501
5.95854,0.333443
8.05426,0.835975
5.99919,0.337541
7.77695,0.72932
5.93363,0.333231
7.93853,0.794594
5.9737,0.334351
7.85877,0.762177
5.95342,0.333279
8.03162,0.828732
5.99407,0.336721
7.81772,0.74537
5.94345,0.333165
7.985,0.812191
5.98395,0.335361
7.89521,0.777138
5.96357,0.333596
8.07432,0.84195
6.00424,0.338469
7.75382,0.720755
6.08588,0.359035
8.54883,0.956854
6.1281,0.370107
8.46602,0.934369
6.10671,0.364777
8.63358,0.982765
6.14957,0.374899
8.43187,0.926782
6.09612,0.361856
8.58947,0.969311
6.13896,0.372539
8.51106,0.946255
6.11732,0.367485
8.68334,0.996588
6.16019,0.377237
8.41537,0.923456
6.09094,0.360424
8.56919,0.963226
6.13351,0.371321
8.48854,0.940189
6.11199,0.366183
8.65717,0.989582
6.15489,0.376069
8.44742,0.930029
6.10141,0.363327
8.60979,0.975664
6.14429,0.373733
8.53111,0.951768
6.12274,0.368795
8.71071,1.00342
6.16544,0.378472
8.40718,0.921852
6.08844,0.35974
8.55898,0.960041
6.13076,0.370701
8.47667,0.937051
6.10934,0.365503
8.64518,0.986146
6.15224,0.375483
8.43991,0.92845
6.09882,0.362608
8.59972,0.972518
6.14164,0.37314
8.5211,0.948988
6.12005,0.368143
8.69703,1.00008
6.16277,0.377828
8.42392,0.925163
6.09349,0.361126
8.57954,0.966323
6.13622,0.371923
8.49962,0.943137
6.11467,0.366837
8.67031,0.993163
6.15754,0.376654
8.45544,0.931817
6.10402,0.364039
8.62257,0.97952
6.14696,0.374323
8.53986,0.954209
6.12541,0.369449
8.72486,1.0066
6.16811,0.379111
8.40284,0.920996
6.25219,0.407198
9.249,1.06912
6.29943,0.428751
9.18063,1.06089
6.27527,0.417905
9.31182,1.07632
6.32307,0.438288
9.14443,1.05669
6.2635,0.412387
9.28086,1.07285
6.31135,0.433762
9.21576,1.06521
6.28727,0.423374
9.34709,1.08034
6.33462,0.442553
9.12637,1.05474
6.25766,0.40965
9.26614,1.07115
6.30534,0.431242
9.19928,1.06317
6.28124,0.420626
9.32882,1.07836
6.3289,0.440482
9.16296,1.05886
6.26925,0.415085
9.29567,1.07447
6.31728,0.436101
9.23237,1.06719
6.29333,0.426144
9.36652,1.08235
6.34025,0.444476
9.1166,1.05377
6.2549,0.408389
9.25759,1.07013
6.30243,0.430021
9.18999,1.06197
6.27823,0.419253
9.32028,1.07735
6.32601,0.4394
9.15374,1.05777
6.26639,0.413744
9.28818,1.07368
6.31427,0.434953
9.22432,1.06625
6.29028,0.424752
9.35668,1.08131
6.33746,0.44352
9.13554,1.05572
6.26053,0.410991
9.2738,1.07205
6.30835,0.432505
9.20757,1.06421
6.28424,0.421992
9.338,1.07939
6.33176,0.441557
9.17175,1.05986
6.27224,0.416501
9.30316,1.0753
6.32014,0.437183
9.24019,1.0681
6.29637,0.42745
9.37622,1.0834
6.34312,0.445455
9.11159,1.05327
6.43159,0.474831
9.83906,1.11718
6.48263,0.498817
9.77343,1.10064
6.45609,0.485621
9.91469,1.13528
6.51008,0.513178
9.73833,1.09276
6.44337,0.479811
9.87411,1.12586
6.49623,0.505863
9.80674,1.10886
6.4692,0.491946
9.95634,1.14374
6.5239,0.520348
9.72022,1.08919
6.43743,0.477341
9.85576,1.12129
6.4894,0.502308
9.79082,1.10488
6.46261,0.488658
9.93675,1.13992
6.51697,0.516746
9.75603,1.09663
6.44966,0.482592
9.89341,1.13073
6.5032,0.509604
9.82312,1.11308
6.47585,0.495281
9.97633,1.14681
6.53073,0.523802
9.71018,1.08747
6.43453,0.476105
9.84753,1.11926
6.48605,0.500586
9.78218,1.10275
6.45935,0.487162
9.92669,1.13781
6.51349,0.514935
9.74722,1.09467
6.44645,0.481091
9.88359,1.12829
6.49973,0.507742
9.81526,1.11106
6.4725,0.493602
9.96651,1.14538
6.52731,0.522119
9.72917,1.09083
6.44032,0.47854
9.86453,1.12347
6.49282,0.504077
9.79874,1.10686
6.46589,0.490297
9.94579,1.14175
6.52045,0.518555
9.76466,1.09856
6.45284,0.48409
9.90388,1.13303
6.50659,0.511398
9.83141,1.11521
6.47918,0.496974
9.98607,1.1482
6.53416,0.525472
9.70514,1.08668
6.63417,0.564306
0.256783,1.13568
6.68684,0.580685
0.188046,1.12095
6.65961,0.571853
0.315786,1.14908
6.71632,0.592317
0.152409,1.11516
6.64658,0.567983
0.284778,1.14204
6.70132,0.586139
0.227364,1.12899
6.67297,0.575994
0.358699,1.15849
6.73178,0.599229
0.131681,1.11195
6.64026,0.566116
0.269974,1.13869
6.69401,0.583373
0.209396,1.12505
6.66629,0.573917
0.335453,1.15355
6.72401,0.595733
0.170321,1.11797
6.65307,0.569902
0.298766,1.14521
6.70882,0.589215
0.24302,1.13253
6.67993,0.578377
0.38326,1.16328
6.7395,0.602786
0.120393,1.1108
6.63719,0.565202
0.26312,1.13713
6.69046,0.582034
0.198277,1.12278
6.66297,0.572893
0.324824,1.15116
6.72015,0.593978
0.161089,1.11652
6.64982,0.568938
0.291969,1.14367
6.70504,0.58765
0.235371,1.13078
6.67653,0.577216
0.370876,1.16091
6.7356,0.600941
0.142107,1.11353
6.64345,0.567063
0.277631,1.14045
6.69769,0.584764
0.218111,1.1269
6.6696,0.574934
0.346575,1.15591
6.72793,0.597513
0.178285,1.11926
6.65627,0.570833
0.307115,1.14711
6.71254,0.590754
0.250761,1.13431
6.68345,0.579558
0.395162,1.16561
6.74341,0.604635
0.114901,1.1104
6.86003,0.653773
0.982908,1.21196
6.91658,0.668722
0.915511,1.19804
6.88787,0.661648
1.02671,1.22018
6.94653,0.676408
0.877063,1.19108
6.87378,0.657801
1.00467,1.2161
6.93143,0.672375
0.950417,1.20514
6.90199,0.665188
1.06286,1.22569
6.96229,0.681183
0.858783,1.18836
6.86684,0.655817
0.997038,1.21466
6.92395,0.670501
0.936316,1.20229
6.89489,0.663424
1.04189,1.22276
6.95438,0.678698
0.894248,1.19404
6.8809,0.659849
1.01417,1.21788
6.93897,0.674369
0.964906,1.20816
6.90932,0.666988
1.0832,1.22771
6.97008,0.683746
0.848905,1.18703
6.86346,0.654862
0.992126,1.21374
6.92021,0.669592
0.92681,1.20034
6.89142,0.662548
1.03349,1.22133
6.95044,0.677542
0.886065,1.19259
6.87728,0.658807
1.00839,1.21679
6.93518,0.67337
0.957819,1.20668
6.90565,0.666087
1.07292,1.22673
6.9662,0.682478
0.867387,1.18962
6.87032,0.65681
1.00021,1.21526
6.92763,0.671395
0.9437,1.20377
6.89844,0.664321
1.05254,1.22444
6.95826,0.679829
0.904304,1.19581
6.88442,0.660776
1.02002,1.21898
6.94265,0.675312
0.973496,1.20995
6.91297,0.667862
1.09475,1.22873
6.97398,0.685051
0.844201,1.1864
7.11819,0.743762
1.6583,1.22017
7.18506,0.762068
1.61525,1.21202
7.15191,0.754096
1.71408,1.23231
7.21681,0.768403
1.59145,1.208
7.13487,0.74914
1.6872,1.22626
7.20103,0.765235
1.63115,1.21495
7.1687,0.758351
1.72682,1.2352
7.23251,0.771582
1.57612,1.2057
7.12634,0.74637
1.67142,1.22286
7.19319,0.763736
1.62132,1.21309
7.16044,0.756371
1.7195,1.23354
7.22462,0.769936
1.60536,1.21031
7.14341,0.751721
1.70381,1.22998
7.20893,0.766835
1.64507,1.21764
7.17706,0.760392
1.74116,1.23824
7.24051,0.773475
1.56636,1.20453
7.12225,0.745066
1.66452,1.2214
7.18917,0.76292
1.61816,1.21253
7.15622,0.755306
1.71748,1.23309
7.2207,0.769151
1.59869,1.20919
7.13919,0.750527
1.69537,1.22809
7.205,0.766036
1.63757,1.2162
7.17291,0.759397
1.73251,1.23643
7.23639,0.772455
1.58488,1.20694
7.13061,0.747753
1.68047,1.2248
7.1971,0.764459
1.62567,1.21389
7.16453,0.757329
1.72241,1.2342
7.22855,0.770749
1.61074,1.21123
7.14767,0.752919
1.70829,1.23099
7.21289,0.767637
1.65164,1.2189
7.18107,0.761235
1.75043,1.24014
7.24455,0.77446
1.56055,1.20393
7.40784,0.839651
2.39525,1.31358
7.48836,0.865878
2.40457,1.31652
7.44954,0.855257
2.38826,1.31137
7.52463,0.872594
2.3876,1.31137
7.42883,0.847937
2.39049,1.31209
7.50659,0.869513
2.40436,1.31642
7.46928,0.861168
2.40724,1.31716
7.54242,0.875354
2.37267,1.30685
7.41855,0.84405
2.39295,1.31286
7.49751,0.867745
2.40526,1.31672
7.45951,0.858317
2.3976,1.3142
7.53342,0.873912
2.4005,1.31529
7.43931,0.851695
2.38801,1.31131
7.51554,0.871067
2.40064,1.31525
7.4788,0.86355
2.42221,1.32174
7.55164,0.876935
2.36235,1.30371
7.41323,0.841897
2.39412,1.31322
7.49287,0.866786
2.40509,1.31668
7.45451,0.856786
2.39365,1.313
7.52909,0.873275
2.39617,1.31398
7.4341,0.849828
2.38935,1.31173
7.51102,0.870272
2.40319,1.31604
7.47406,0.862369
2.41314,1.31898
7.54698,0.876097
2.37907,1.30879
7.42375,0.84606
2.39172,1.31247
7.50209,0.868686
2.40553,1.3168
7.46445,0.859767
2.40285,1.31579
7.53788,0.874616
2.40379,1.31629
7.4445,0.853528
2.38712,1.31104
7.52015,0.87189
2.3969,1.3141
7.48365,0.864767
2.43082,1.32436
7.55641,0.877847
2.35693,1.30207
7.76164,0.936056
2.99191,1.47149
7.85125,0.957314
3.04387,1.49535
7.81008,0.949061
2.92578,1.44431
7.89079,0.963963
3.06206,1.50452
7.78674,0.943043
2.95841,1.45689
7.87087,0.960643
3.02428,1.48599
7.83134,0.953632
2.91958,1.44203
7.91205,0.968079
3.06692,1.50699
7.77439,0.939708
2.97937,1.46598
7.86114,0.959023
3.03857,1.4927
7.82071,0.951386
2.92223,1.44301
7.90121,0.965934
3.05103,1.49896
7.79852,0.946093
2.93771,1.44876
7.88066,0.96219
3.00707,1.4782
7.84145,0.955549
2.91893,1.44178
7.92317,0.970533
3.06646,1.50676
7.76801,0.937884
2.98612,1.46895
7.8562,0.958157
3.04119,1.49401
7.81541,0.95023
2.92422,1.44374
7.89595,0.964931
3.05691,1.50192
7.79264,0.944557
2.94611,1.45193
7.87575,0.961413
3.01607,1.48222
7.83637,0.954569
2.91939,1.44196
7.91757,0.969279
3.06477,1.5059
7.78059,0.941434
2.96905,1.46146
7.86598,0.959841
3.0326,1.48984
7.82619,0.952624
2.92133,1.44268
7.90657,0.966956
3.04742,1.49713
7.80441,0.947688
2.92972,1.44578
7.88559,0.963032
2.99863,1.47446
7.84647,0.95652
2.92777,1.44498
7.92891,0.971826
3.0653,1.50619
8.19148,1.04398
3.27755,1.61355
8.29663,1.06348
3.37762,1.65635
8.24702,1.05553
3.2249,1.5877
8.34945,1.07095
3.41491,1.66958
8.2206,1.05038
3.24191,1.59617
8.32177,1.06693
3.33078,1.63763
8.27198,1.05969
3.19726,1.57354
8.38004,1.07555
3.42649,1.67327
8.20624,1.04726
3.2576,1.60389
8.30906,1.06517
3.35483,1.64744
8.25949,1.05767
3.21492,1.58262
8.36417,1.07316
3.39834,1.66389
8.23389,1.05304
3.22939,1.58997
8.33553,1.06904
3.30159,1.62479
8.28414,1.06161
3.18773,1.5686
8.39648,1.07799
3.43204,1.67503
8.1989,1.04567
3.26725,1.60862
8.30277,1.06433
3.36641,1.65203
8.25334,1.05662
3.22227,1.58636
8.3568,1.07205
3.40707,1.66693
8.22732,1.05173
3.23593,1.59321
8.32856,1.06798
3.3155,1.63105
8.27797,1.06064
3.19112,1.57035
8.3881,1.07673
3.42078,1.67146
8.21346,1.04881
3.24972,1.60002
8.31547,1.06605
3.34274,1.64252
8.26572,1.05869
3.20681,1.57848
8.37198,1.07434
3.38799,1.66018
8.2405,1.05434
3.22712,1.58882
8.34233,1.06995
3.28975,1.6193
8.29038,1.06255
3.18594,1.56767
8.40505,1.07938
3.43348,1.6755
8.73568,1.13924
3.27685,1.61244
8.88409,1.16562
3.40801,1.66614
8.8079,1.15181
3.12614,1.53594
8.97026,1.18009
3.45796,1.68073
8.77147,1.14532
3.1926,1.5705
8.9257,1.17322
3.35133,1.64512
8.84542,1.15858
3.08394,1.51406
9.01796,1.18585
3.47608,1.6847
8.7536,1.14227
3.23692,1.59298
8.90465,1.16948
3.38388,1.65764
8.82631,1.15495
3.10323,1.52404
8.99403,1.18331
3.4352,1.6748
8.78949,1.14857
3.15378,1.55025
8.94797,1.1768
3.31495,1.62997
8.86489,1.16225
3.06719,1.50553
9.04237,1.18803
3.48204,1.68589
8.7447,1.14083
3.25739,1.60304
8.89416,1.16749
3.39689,1.6623
8.81696,1.15328
3.11439,1.52984
8.98243,1.18186
3.4474,1.67809
8.78032,1.1469
3.17279,1.56022
8.9369,1.17512
3.33265,1.63751
8.85501,1.16041
3.07488,1.50945
9.03031,1.18704
3.46872,1.68319
8.76252,1.14379
3.21623,1.58262
8.91537,1.17145
3.36919,1.65215
8.8359,1.15677
3.09273,1.51859
9.00572,1.18456
3.42204,1.67067
8.79875,1.15025
3.13849,1.54229
8.95907,1.17848
3.2961,1.62146
8.87436,1.16392
3.06325,1.50353
9.05473,1.189
3.48413,1.68631
9.44329,1.19836
2.85724,1.41819
9.66922,1.20543
3.07385,1.50837
9.55869,1.20681
2.70508,1.38371
9.78053,1.21191
3.16453,1.55528
9.49932,1.20331
2.77561,1.39618
9.72437,1.20665
2.9696,1.45956
9.61477,1.20691
2.65295,1.37515
9.83997,1.22057
3.20409,1.57582
9.47092,1.20067
2.81345,1.40577
9.69738,1.20576
3.02306,1.48334
9.58708,1.20717
2.67779,1.37915
9.81045,1.21612
3.11993,1.53213
9.52931,1.20539
2.7372,1.38887
9.75235,1.20899
2.91019,1.4365
9.64288,1.20627
2.63315,1.3718
9.86908,1.22522
3.22414,1.58603
9.45717,1.19953
2.83329,1.41128
9.6834,1.20562
3.0485,1.49557
9.57331,1.20708
2.69054,1.38117
9.79521,1.21395
3.14311,1.54408
9.5144,1.20446
2.75587,1.39208
9.73835,1.20781
2.93995,1.44742
9.62934,1.20667
2.64304,1.37347
9.85444,1.22293
3.18523,1.56608
9.48491,1.20199
2.7938,1.40051
9.71101,1.20612
2.99776,1.47191
9.601,1.20709
2.66432,1.37701
9.82508,1.21827
3.09649,1.51997
9.54385,1.2062
2.72067,1.38618
9.76635,1.21035
2.88337,1.42693
9.65609,1.20581
2.62546,1.37039
9.88451,1.22773
3.23264,1.59024
0.152637,1.20391
2.38289,1.30515
0.529067,1.25577
2.56073,1.35557
0.317661,1.21914
2.23674,1.26442
0.730164,1.26487
2.64541,1.37311
0.227687,1.20565
2.29506,1.27913
0.632848,1.26459
2.47262,1.33218
0.422094,1.23886
2.18327,1.25326
0.823625,1.26022
2.68037,1.37875
0.188848,1.2034
2.33819,1.29157
0.582466,1.26131
2.51724,1.34447
0.368731,1.22892
2.20967,1.25832
0.775842,1.26276
2.60677,1.36623
0.271665,1.21141
2.26297,1.27085
0.682719,1.26604
2.42794,1.31897
0.475446,1.2483
2.16432,1.25088
0.871932,1.26038
2.69566,1.38128
0.170703,1.20341
2.36075,1.29842
0.556491,1.25901
2.53939,1.35015
0.342915,1.22395
2.22359,1.26139
0.753261,1.26391
2.62662,1.36985
0.249158,1.20807
2.27825,1.27473
0.658342,1.26557
2.45071,1.32578
0.449135,1.24374
2.1738,1.25198
0.847474,1.26015
2.66418,1.3762
0.207806,1.20409
2.31662,1.28515
0.608222,1.26336
2.49465,1.33841
0.395789,1.23414
2.19573,1.25559
0.79972,1.26103
2.58423,1.36156
0.294285,1.21511
2.24963,1.26752
0.706748,1.26588
2.40509,1.31197
0.501657,1.2518
2.15422,1.24975
0.896844,1.2621
2.70323,1.38259
1.90471,1.30084
1.95232,1.24552
3.01112,1.49764
2.0842,1.24204
2.28084,1.30916
1.82907,1.24463
3.80163,1.71225
2.1531,1.24861
2.06538,1.29349
1.88822,1.24753
3.56691,1.73345
2.0186,1.24249
2.59471,1.39308
1.77925,1.23737
3.92423,1.66485
2.18368,1.25236
1.98405,1.29956
1.91851,1.24706
3.32122,1.65284
2.04885,1.24152
2.42015,1.34666
1.80428,1.24144
3.87002,1.68793
2.11992,1.24516
2.16159,1.29147
1.85653,1.2467
3.71096,1.73313
1.98686,1.244
2.77631,1.42162
1.76032,1.2337
3.96469,1.64075
2.19557,1.25461
1.94746,1.30208
1.93526,1.24636
3.16098,1.57194
2.06574,1.24124
2.34742,1.32591
1.81639,1.24308
3.83877,1.70063
2.13691,1.24688
2.11214,1.29094
1.87228,1.24734
3.65058,1.7387
2.00296,1.24315
2.68266,1.4075
1.76934,1.23548
3.94564,1.65205
2.16925,1.25043
2.02206,1.29647
1.90354,1.24748
3.45865,1.70757
2.03348,1.24201
2.50637,1.37163
1.79097,1.23945
3.89837,1.67681
2.10214,1.24351
2.21837,1.29701
1.84254,1.24574
3.75941,1.72216
1.96963,1.24484
2.88238,1.44826
1.75171,1.23195
3.97977,1.62938
2.20119,1.25565
4.14322,1.27495
1.49057,1.18668
4.26084,1.21935
1.64876,1.20822
4.18846,1.22964
1.3835,1.18942
4.3223,1.21607
1.72738,1.22585
4.16069,1.24674
1.43068,1.18616
4.29288,1.21688
1.5663,1.19345
4.22195,1.21974
1.34856,1.19304
4.34303,1.20951
1.75823,1.23217
4.15108,1.26039
1.45937,1.1861
4.27731,1.21784
1.60813,1.20039
4.20426,1.22337
1.36498,1.19117
4.33316,1.21263
1.68912,1.21698
4.17358,1.23748
1.40621,1.18762
4.3098,1.21819
1.52819,1.18926
4.24091,1.21872
1.3352,1.19476
4.35181,1.20556
1.77209,1.23486
4.14711,1.26749
1.47452,1.18627
4.26901,1.21841
1.62915,1.20435
4.19617,1.22622
1.3744,1.19024
4.32773,1.21418
